INCIDENT_ID,DATA_YEAR,ORI,PUB_AGENCY_NAME,PUB_AGENCY_UNIT,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,DIVISION_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,INCIDENT_DATE,ADULT_VICTIM_COUNT,JUVENILE_VICTIM_COUNT,TOTAL_OFFENDER_COUNT,ADULT_OFFENDER_COUNT,JUVENILE_OFFENDER_COUNT,OFFENDER_RACE,OFFENDER_ETHNICITY,VICTIM_COUNT,OFFENSE_NAME,TOTAL_INDIVIDUAL_VICTIMS,LOCATION_NAME,BIAS_DESC,VICTIM_TYPES,MULTIPLE_OFFENSE,MULTIPLE_BIAS
194765,2017,IL0100600,Urbana,,City,IL,Illinois,East North Central,Midwest,4,"Cities from 25,000 thru 49,999",17-Apr-17,1,0,1,1,0,Black or African American,Unknown,1,Robbery,1,Air/Bus/Train Terminal,Anti-White,Individual,S,S
694912,2017,IL1010400,Rockford,,City,IL,Illinois,East North Central,Midwest,2,"Cities from 100,000 thru 249,999",12-Dec-17,1,0,2,2,0,Black or African American,Not Hispanic or Latino,1,Robbery,1,Parking/Drop Lot/Garage,Anti-Gay (Male),Individual,S,S
409807,2018,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",6-Nov-18,1,0,1,1,0,White,Hispanic or Latino,1,Robbery,1,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
504806,2019,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",6-Jul-19,1,0,3,,,Black or African American,Unknown,1,Robbery,1,Highway/Road/Alley/Street/Sidewalk,Anti-White,Individual,S,S
504808,2019,ILCPD0000,Chicago,,City,IL,Illinois,East North Central,Midwest,1A,"Cities 1,000,000 or over",30-Jul-19,1,0,3,,,Black or African American,Unknown,1,Robbery,1,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
190906,2017,FL0510000,Pasco,,County,FL,Florida,South Atlantic,South,9A,"MSA counties 100,000 or over",19-Aug-17,2,0,0,,,Unknown,Unknown,2,Motor Vehicle Theft,2,Residence/Home,Anti-Arab,Individual,S,S
386634,2018,FL0060300,Fort Lauderdale,,City,FL,Florida,South Atlantic,South,2,"Cities from 100,000 thru 249,999",23-May-18,1,0,2,2,0,Black or African American,Not Hispanic or Latino,1,Robbery,1,Air/Bus/Train Terminal,Anti-Gay (Male),Individual,S,S
386639,2018,FL0061700,Lauderdale Lakes,,City,FL,Florida,South Atlantic,South,4,"Cities from 25,000 thru 49,999",19-Feb-18,0,1,1,1,0,Black or African American,Unknown,1,Robbery,1,Park/Playground,Anti-White,Individual,S,S
386653,2018,FL0130600,Miami,,City,FL,Florida,South Atlantic,South,1C,"Cities from 250,000 thru 499,999",19-Sep-18,1,0,1,1,0,White,Hispanic or Latino,1,Robbery,1,Residence/Home,Anti-Gay (Male),Individual,S,S
386686,2018,FL0310200,Sebastian,,City,FL,Florida,South Atlantic,South,4,"Cities from 25,000 thru 49,999",18-Nov-18,1,0,3,3,0,White,Not Hispanic or Latino,1,Robbery,1,Park/Playground,Anti-Gay (Male),Individual,S,S
393651,2017,MD0160400,Montgomery County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",20-Oct-17,0,0,2,0,2,White,Unknown,1,Shoplifting,0,Specialty Store,Anti-Male,Business,S,S
624472,2017,MD0160400,Montgomery County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",1-Mar-17,1,0,0,,,Unknown,Unknown,1,Theft From Building,1,Residence/Home,Anti-Physical Disability,Individual,S,S
624474,2017,MD0160400,Montgomery County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",10-Feb-17,0,1,2,1,1,White,Unknown,1,Theft From Building,1,School/College,Anti-Black or African American,Individual,S,S
624476,2017,MD0160400,Montgomery County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",9-Jan-17,0,1,2,0,2,Black or African American,Unknown,1,Robbery,1,Residence/Home,Anti-Mental Disability,Individual,S,S
280428,2018,MD0172100,Prince George's County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",16-Jun-18,1,0,2,0,2,Black or African American,Not Hispanic or Latino,1,Robbery,1,Highway/Road/Alley/Street/Sidewalk,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
549253,2019,MD0160600,Takoma Park,,City,MD,Maryland,South Atlantic,South,5,"Cities from 10,000 thru 24,999",11-Aug-19,1,0,1,1,0,Black or African American,Not Hispanic or Latino,1,Robbery,1,Highway/Road/Alley/Street/Sidewalk,Anti-Gay (Male),Individual,S,S
693710,2019,MD0172100,Prince George's County Police Department,,County,MD,Maryland,South Atlantic,South,9A,"MSA counties 100,000 or over",19-Oct-19,1,0,2,2,0,Unknown,Hispanic or Latino,1,Robbery,1,Residence/Home,"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",Individual,S,S
