"INCIDENT_ID","DATA_YEAR","ORI","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_TYPE_NAME","STATE_ABBR","STATE_NAME","DIVISION_NAME","REGION_NAME","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","INCIDENT_DATE","ADULT_VICTIM_COUNT","JUVENILE_VICTIM_COUNT","TOTAL_OFFENDER_COUNT","ADULT_OFFENDER_COUNT","JUVENILE_OFFENDER_COUNT","OFFENDER_RACE","OFFENDER_ETHNICITY","VICTIM_COUNT","OFFENSE_NAME","TOTAL_INDIVIDUAL_VICTIMS","LOCATION_NAME","BIAS_DESC","VICTIM_TYPES","MULTIPLE_OFFENSE","MULTIPLE_BIAS"
3015,1991,"AR0040200","Rogers","","City","AR","Arkansas","West South Central","South","5","Cities from 10,000 thru 24,999",31-AUG-91,,,1,,,"White","",1,"Intimidation",1,"Highway/Road/Alley/Street/Sidewalk","Anti-Black or African American","Individual","S","S"
3016,1991,"AR0290100","Hope","","City","AR","Arkansas","West South Central","South","6","Cities from 2,500 thru 9,999",19-SEP-91,,,1,,,"Black or African American","",1,"Simple Assault",1,"Highway/Road/Alley/Street/Sidewalk","Anti-White","Individual","S","S"
43,1991,"AR0350100","Pine Bluff","","City","AR","Arkansas","West South Central","South","3","Cities from 50,000 thru 99,999",04-JUL-91,,,1,,,"Black or African American","",1,"Aggravated Assault",1,"Residence/Home","Anti-Black or African American","Individual","S","S"
44,1991,"AR0350100","Pine Bluff","","City","AR","Arkansas","West South Central","South","3","Cities from 50,000 thru 99,999",24-DEC-91,,,1,,,"Black or African American","",2,"Aggravated Assault;Destruction/Damage/Vandalism of Property",1,"Highway/Road/Alley/Street/Sidewalk","Anti-White","Individual","M","S"
3017,1991,"AR0350100","Pine Bluff","","City","AR","Arkansas","West South Central","South","3","Cities from 50,000 thru 99,999",23-DEC-91,,,1,,,"Black or African American","",1,"Aggravated Assault",1,"Service/Gas Station","Anti-White","Individual","S","S"
3018,1991,"AR0350100","Pine Bluff","","City","AR","Arkansas","West South Central","South","3","Cities from 50,000 thru 99,999",27-JUL-91,,,1,,,"Black or African American","",1,"Robbery",1,"Grocery/Supermarket","Anti-White","Individual","S","S"
3019,1991,"AR0600200","Little Rock","","City","AR","Arkansas","West South Central","South","2","Cities from 100,000 thru 249,999",14-NOV-91,,,2,,,"Black or African American","",1,"Aggravated Assault",1,"School/College","Anti-White","Individual","S","S"
45,1991,"AR0600300","North Little Rock","","City","AR","Arkansas","West South Central","South","3","Cities from 50,000 thru 99,999",10-JUL-91,,,1,,,"Black or African American","",2,"Aggravated Assault;Murder and Nonnegligent Manslaughter",2,"Residence/Home","Anti-White","Individual","M","S"
46,1991,"AR0600300","North Little Rock","","City","AR","Arkansas","West South Central","South","3","Cities from 50,000 thru 99,999",06-OCT-91,,,2,,,"Black or African American","",1,"Intimidation",1,"Residence/Home","Anti-White","Individual","S","S"
3020,1991,"AR0600300","North Little Rock","","City","AR","Arkansas","West South Central","South","3","Cities from 50,000 thru 99,999",04-OCT-91,,,10,,,"Black or African American","",2,"Robbery",2,"Highway/Road/Alley/Street/Sidewalk","Anti-White","Individual","S","S"
